# Chi2 Rg SupportVolume
1.00784e+02 3.08691e+01 2.00038e+06
9.96829e+01 3.08252e+01 2.00038e+06
9.86022e+01 3.07818e+01 2.00038e+06
9.75431e+01 3.07384e+01 2.00038e+06
9.64958e+01 3.06949e+01 2.00038e+06
9.54591e+01 3.06516e+01 2.00038e+06
9.44373e+01 3.06080e+01 2.00038e+06
9.34316e+01 3.05640e+01 2.00038e+06
9.24390e+01 3.05198e+01 2.00038e+06
9.14577e+01 3.04757e+01 2.00038e+06
9.04892e+01 3.04313e+01 2.00038e+06
8.95312e+01 3.03872e+01 2.00038e+06
8.85917e+01 3.03435e+01 2.00038e+06
8.76657e+01 3.02995e+01 2.00038e+06
8.67496e+01 3.02557e+01 2.00038e+06
8.58454e+01 3.02125e+01 2.00038e+06
8.49557e+01 3.01692e+01 2.00038e+06
8.40765e+01 3.01259e+01 2.00038e+06
8.32110e+01 3.00826e+01 2.00038e+06
8.23581e+01 3.00394e+01 2.00038e+06
8.15161e+01 2.99963e+01 2.00038e+06
8.06833e+01 2.99532e+01 2.00038e+06
7.98649e+01 2.99106e+01 2.00038e+06
7.90587e+01 2.98685e+01 2.00038e+06
7.82662e+01 2.98263e+01 2.00038e+06
7.74831e+01 2.97841e+01 2.00038e+06
7.67105e+01 2.97424e+01 2.00038e+06
7.59503e+01 2.97013e+01 2.00038e+06
7.52051e+01 2.96602e+01 2.00038e+06
7.44697e+01 2.96189e+01 2.00038e+06
7.37426e+01 2.95778e+01 2.00038e+06
7.30266e+01 2.95371e+01 2.00038e+06
7.23220e+01 2.94964e+01 2.00038e+06
7.16236e+01 2.94562e+01 2.00038e+06
7.09355e+01 2.94160e+01 2.00038e+06
7.02546e+01 2.93757e+01 2.00038e+06
6.95813e+01 2.93357e+01 2.00038e+06
6.89186e+01 2.92959e+01 2.00038e+06
6.82644e+01 2.92562e+01 2.00038e+06
6.76165e+01 2.92167e+01 2.00038e+06
6.69767e+01 2.91773e+01 2.00038e+06
6.63449e+01 2.91377e+01 2.00038e+06
6.57212e+01 2.90980e+01 2.00038e+06
6.51036e+01 2.90586e+01 2.00038e+06
6.44943e+01 2.90194e+01 2.00038e+06
6.38959e+01 2.89800e+01 2.00038e+06
6.33033e+01 2.89408e+01 2.00038e+06
6.27179e+01 2.89016e+01 2.00038e+06
6.21419e+01 2.88626e+01 2.00038e+06
6.15733e+01 2.88236e+01 2.00038e+06
6.10125e+01 2.87848e+01 2.00038e+06
6.04591e+01 2.87459e+01 2.00038e+06
5.99117e+01 2.87071e+01 2.00038e+06
5.93714e+01 2.86685e+01 2.00038e+06
5.88380e+01 2.86303e+01 2.00038e+06
5.83127e+01 2.85920e+01 2.00038e+06
5.77934e+01 2.85540e+01 2.00038e+06
5.72815e+01 2.85158e+01 2.00038e+06
5.67740e+01 2.84779e+01 2.00038e+06
5.62735e+01 2.84401e+01 2.00038e+06
5.57803e+01 2.84026e+01 2.00038e+06
5.52938e+01 2.83649e+01 2.00038e+06
5.48113e+01 2.83272e+01 2.00038e+06
5.43340e+01 2.82897e+01 2.00038e+06
5.38616e+01 2.82523e+01 2.00038e+06
5.33938e+01 2.82151e+01 2.00038e+06
5.29317e+01 2.81778e+01 2.00038e+06
5.24741e+01 2.81406e+01 2.00038e+06
5.20205e+01 2.81036e+01 2.00038e+06
5.15733e+01 2.80668e+01 2.00038e+06
5.11313e+01 2.80302e+01 2.00038e+06
5.06952e+01 2.79937e+01 2.00038e+06
5.02645e+01 2.79572e+01 2.00038e+06
4.98373e+01 2.79210e+01 2.00038e+06
4.94154e+01 2.78851e+01 2.00038e+06
4.89995e+01 2.78492e+01 2.00038e+06
4.85896e+01 2.78133e+01 2.00038e+06
4.81842e+01 2.77777e+01 2.00038e+06
4.77842e+01 2.77422e+01 2.00038e+06
4.73889e+01 2.77067e+01 2.00038e+06
4.69970e+01 2.76716e+01 2.00038e+06
4.66099e+01 2.76366e+01 2.00038e+06
4.62285e+01 2.76019e+01 2.00038e+06
4.58522e+01 2.75672e+01 2.00038e+06
4.54793e+01 2.75329e+01 2.00038e+06
4.51112e+01 2.74986e+01 2.00038e+06
4.47472e+01 2.74647e+01 2.00038e+06
4.43871e+01 2.74309e+01 2.00038e+06
4.40308e+01 2.73971e+01 2.00038e+06
4.36778e+01 2.73636e+01 2.00038e+06
4.33288e+01 2.73302e+01 2.00038e+06
4.29842e+01 2.72967e+01 2.00038e+06
4.26445e+01 2.72634e+01 2.00038e+06
4.23088e+01 2.72303e+01 2.00038e+06
4.19771e+01 2.71974e+01 2.00038e+06
4.16494e+01 2.71647e+01 2.00038e+06
4.13254e+01 2.71319e+01 2.00038e+06
4.10044e+01 2.70991e+01 2.00038e+06
4.06866e+01 2.70666e+01 2.00038e+06
4.03722e+01 2.70341e+01 2.00038e+06
4.00613e+01 2.70018e+01 2.00038e+06
3.97543e+01 2.69696e+01 2.00038e+06
3.94511e+01 2.69375e+01 2.00038e+06
3.91518e+01 2.69056e+01 2.00038e+06
3.88545e+01 2.68738e+01 2.00038e+06
3.85603e+01 2.68422e+01 2.00038e+06
3.82699e+01 2.68107e+01 2.00038e+06
3.79834e+01 2.67795e+01 2.00038e+06
3.77007e+01 2.67482e+01 2.00038e+06
3.74204e+01 2.67170e+01 2.00038e+06
3.71428e+01 2.66860e+01 2.00038e+06
3.68674e+01 2.66552e+01 2.00038e+06
3.65955e+01 2.66245e+01 2.00038e+06
3.63268e+01 2.65938e+01 2.00038e+06
3.60606e+01 2.65635e+01 2.00038e+06
3.57979e+01 2.65331e+01 2.00038e+06
3.55374e+01 2.65029e+01 2.00038e+06
3.52797e+01 2.64726e+01 2.00038e+06
3.50247e+01 2.64424e+01 2.00038e+06
3.47714e+01 2.64122e+01 2.00038e+06
3.45207e+01 2.63821e+01 2.00038e+06
3.42722e+01 2.63522e+01 2.00038e+06
3.40259e+01 2.63224e+01 2.00038e+06
3.37818e+01 2.62926e+01 2.00038e+06
3.35403e+01 2.62630e+01 2.00038e+06
3.33017e+01 2.62334e+01 2.00038e+06
3.30650e+01 2.62040e+01 2.00038e+06
3.28308e+01 2.61747e+01 2.00038e+06
3.25998e+01 2.61455e+01 2.00038e+06
3.23710e+01 2.61165e+01 2.00038e+06
3.21435e+01 2.60875e+01 2.00038e+06
3.19176e+01 2.60586e+01 2.00038e+06
3.16942e+01 2.60300e+01 2.00038e+06
3.14738e+01 2.60015e+01 2.00038e+06
3.12556e+01 2.59731e+01 2.00038e+06
3.10391e+01 2.59448e+01 2.00038e+06
3.08240e+01 2.59165e+01 2.00038e+06
3.06108e+01 2.58884e+01 2.00038e+06
3.04002e+01 2.58603e+01 2.00038e+06
3.01915e+01 2.58323e+01 2.00038e+06
2.99841e+01 2.58042e+01 2.00038e+06
2.97781e+01 2.57763e+01 2.00038e+06
2.95747e+01 2.57484e+01 2.00038e+06
2.93726e+01 2.57207e+01 2.00038e+06
2.91726e+01 2.56929e+01 2.00038e+06
2.89738e+01 2.56652e+01 2.00038e+06
2.87773e+01 2.56376e+01 2.00038e+06
2.85830e+01 2.56100e+01 2.00038e+06
2.83901e+01 2.55826e+01 2.00038e+06
2.81991e+01 2.55555e+01 2.00038e+06
2.80104e+01 2.55284e+01 2.00038e+06
2.78233e+01 2.55015e+01 2.00038e+06
2.76376e+01 2.54746e+01 2.00038e+06
2.74536e+01 2.54476e+01 2.00038e+06
2.72710e+01 2.54207e+01 2.00038e+06
2.70895e+01 2.53938e+01 2.00038e+06
2.69089e+01 2.53670e+01 2.00038e+06
2.67298e+01 2.53403e+01 2.00038e+06
2.65523e+01 2.53136e+01 2.00038e+06
2.63764e+01 2.52870e+01 2.00038e+06
2.62017e+01 2.52606e+01 2.00038e+06
2.60284e+01 2.52343e+01 2.00038e+06
2.58568e+01 2.52081e+01 2.00038e+06
2.56865e+01 2.51822e+01 2.00038e+06
2.55184e+01 2.51564e+01 2.00038e+06
2.53518e+01 2.51306e+01 2.00038e+06
2.51863e+01 2.51050e+01 2.00038e+06
2.50224e+01 2.50794e+01 2.00038e+06
2.48601e+01 2.50538e+01 2.00038e+06
2.46989e+01 2.50284e+01 2.00038e+06
2.45392e+01 2.50031e+01 2.00038e+06
2.43812e+01 2.49779e+01 2.00038e+06
2.42246e+01 2.49529e+01 2.00038e+06
2.40696e+01 2.49279e+01 2.00038e+06
2.39161e+01 2.49030e+01 2.00038e+06
2.37637e+01 2.48782e+01 2.00038e+06
2.36128e+01 2.48534e+01 2.00038e+06
2.34630e+01 2.48288e+01 2.00038e+06
2.33148e+01 2.48042e+01 2.00038e+06
2.31680e+01 2.47797e+01 2.00038e+06
2.30223e+01 2.47556e+01 2.00038e+06
2.28783e+01 2.47314e+01 2.00038e+06
2.27353e+01 2.47073e+01 2.00038e+06
2.25935e+01 2.46833e+01 2.00038e+06
2.24527e+01 2.46595e+01 2.00038e+06
2.23138e+01 2.46357e+01 2.00038e+06
2.21759e+01 2.46120e+01 2.00038e+06
2.20392e+01 2.45883e+01 2.00038e+06
2.19037e+01 2.45647e+01 2.00038e+06
2.17692e+01 2.45412e+01 2.00038e+06
2.16362e+01 2.45178e+01 2.00038e+06
2.15045e+01 2.44944e+01 2.00038e+06
2.13737e+01 2.44710e+01 2.00038e+06
2.12439e+01 2.44477e+01 2.00038e+06
2.11151e+01 2.44245e+01 2.00038e+06
2.09873e+01 2.44015e+01 2.00038e+06
2.08609e+01 2.43786e+01 2.00038e+06
2.07359e+01 2.43559e+01 2.00038e+06
2.06125e+01 2.43332e+01 2.00038e+06
2.04898e+01 2.43105e+01 2.00038e+06
2.03678e+01 2.42880e+01 2.00038e+06
2.02472e+01 2.42654e+01 2.00038e+06
2.01275e+01 2.42430e+01 2.00038e+06
2.00085e+01 2.42206e+01 2.00038e+06
1.98911e+01 2.41983e+01 2.00038e+06
1.97745e+01 2.41760e+01 2.00038e+06
1.96590e+01 2.41538e+01 2.00038e+06
1.95445e+01 2.41318e+01 2.00038e+06
1.94316e+01 2.41098e+01 2.00038e+06
1.93195e+01 2.40878e+01 2.00038e+06
1.92081e+01 2.40657e+01 2.00038e+06
1.90976e+01 2.40437e+01 2.00038e+06
1.89877e+01 2.40217e+01 2.00038e+06
1.88787e+01 2.39997e+01 2.00038e+06
1.87706e+01 2.39778e+01 2.00038e+06
1.86632e+01 2.39560e+01 2.00038e+06
1.85568e+01 2.39343e+01 2.00038e+06
1.84515e+01 2.39128e+01 2.00038e+06
1.83471e+01 2.38915e+01 2.00038e+06
1.82439e+01 2.38701e+01 2.00038e+06
1.81414e+01 2.38487e+01 2.00038e+06
1.80396e+01 2.38275e+01 2.00038e+06
1.79387e+01 2.38063e+01 2.00038e+06
1.78387e+01 2.37851e+01 2.00038e+06
1.77396e+01 2.37640e+01 2.00038e+06
1.76410e+01 2.37429e+01 2.00038e+06
1.75432e+01 2.37220e+01 2.00038e+06
1.74462e+01 2.37011e+01 2.00038e+06
1.73500e+01 2.36803e+01 2.00038e+06
1.72545e+01 2.36596e+01 2.00038e+06
1.71603e+01 2.36391e+01 2.00038e+06
1.70666e+01 2.36186e+01 2.00038e+06
1.69737e+01 2.35982e+01 2.00038e+06
1.68815e+01 2.35777e+01 2.00038e+06
1.67899e+01 2.35574e+01 2.00038e+06
1.66992e+01 2.35371e+01 2.00038e+06
1.66090e+01 2.35169e+01 2.00038e+06
1.65196e+01 2.34967e+01 2.00038e+06
1.64306e+01 2.34765e+01 2.00038e+06
1.63422e+01 2.34564e+01 2.00038e+06
1.62548e+01 2.34365e+01 2.00038e+06
1.61683e+01 2.34165e+01 2.00038e+06
1.60821e+01 2.33964e+01 2.00038e+06
1.59963e+01 2.33764e+01 2.00038e+06
1.59112e+01 2.33565e+01 2.00038e+06
1.58268e+01 2.33368e+01 2.00038e+06
1.57430e+01 2.33172e+01 2.00038e+06
1.56601e+01 2.32977e+01 2.00038e+06
1.55782e+01 2.32782e+01 2.00038e+06
1.54967e+01 2.32588e+01 2.00038e+06
1.54162e+01 2.32395e+01 2.00038e+06
1.53362e+01 2.32203e+01 2.00038e+06
1.52567e+01 2.32012e+01 2.00038e+06
1.51777e+01 2.31820e+01 2.00038e+06
1.50993e+01 2.31628e+01 2.00038e+06
1.50213e+01 2.31437e+01 2.00038e+06
1.49437e+01 2.31246e+01 2.00038e+06
1.48669e+01 2.31058e+01 2.00038e+06
1.47911e+01 2.30870e+01 2.00038e+06
1.47158e+01 2.30682e+01 2.00038e+06
1.46410e+01 2.30494e+01 2.00038e+06
1.45666e+01 2.30307e+01 2.00038e+06
1.44926e+01 2.30120e+01 2.00038e+06
1.44192e+01 2.29934e+01 2.00038e+06
1.43461e+01 2.29747e+01 2.00038e+06
1.42734e+01 2.29562e+01 2.00038e+06
1.42012e+01 2.29377e+01 2.00038e+06
1.41297e+01 2.29193e+01 2.00038e+06
1.40585e+01 2.29009e+01 2.00038e+06
1.39879e+01 2.28826e+01 2.00038e+06
1.39178e+01 2.28643e+01 2.00038e+06
1.38481e+01 2.28459e+01 2.00038e+06
1.37789e+01 2.28278e+01 2.00038e+06
1.37105e+01 2.28096e+01 2.00038e+06
1.36426e+01 2.27915e+01 2.00038e+06
1.35753e+01 2.27734e+01 2.00038e+06
1.35083e+01 2.27553e+01 2.00038e+06
1.34418e+01 2.27374e+01 2.00038e+06
1.33758e+01 2.27195e+01 2.00038e+06
1.33103e+01 2.27016e+01 2.00038e+06
1.32452e+01 2.26837e+01 2.00038e+06
1.31805e+01 2.26659e+01 2.00038e+06
1.31162e+01 2.26481e+01 2.00038e+06
1.30521e+01 2.26304e+01 2.00038e+06
1.29885e+01 2.26128e+01 2.00038e+06
1.29254e+01 2.25953e+01 2.00038e+06
1.28627e+01 2.25778e+01 2.00038e+06
1.28004e+01 2.25603e+01 2.00038e+06
1.27385e+01 2.25429e+01 2.00038e+06
1.26769e+01 2.25255e+01 2.00038e+06
1.26156e+01 2.25082e+01 2.00038e+06
1.25547e+01 2.24908e+01 2.00038e+06
1.24941e+01 2.24735e+01 2.00038e+06
1.24338e+01 2.24563e+01 2.00038e+06
1.23742e+01 2.24391e+01 2.00038e+06
1.23151e+01 2.24222e+01 2.00038e+06
1.22565e+01 2.24052e+01 2.00038e+06
1.21982e+01 2.23883e+01 2.00038e+06
1.21403e+01 2.23715e+01 2.00038e+06
1.20830e+01 2.23547e+01 2.00038e+06
1.20260e+01 2.23379e+01 2.00038e+06
1.19692e+01 2.23212e+01 2.00038e+06
1.19128e+01 2.23044e+01 2.00038e+06
1.18567e+01 2.22877e+01 2.00038e+06
1.18009e+01 2.22711e+01 2.00038e+06
1.17456e+01 2.22544e+01 2.00038e+06
1.16906e+01 2.22378e+01 2.00038e+06
1.16359e+01 2.22213e+01 2.00038e+06
1.15816e+01 2.22048e+01 2.00038e+06
1.15279e+01 2.21885e+01 2.00038e+06
1.14749e+01 2.21722e+01 2.00038e+06
1.14220e+01 2.21560e+01 2.00038e+06
1.13693e+01 2.21398e+01 2.00038e+06
1.13172e+01 2.21238e+01 2.00038e+06
1.12655e+01 2.21078e+01 2.00038e+06
1.12141e+01 2.20917e+01 2.00038e+06
1.11629e+01 2.20757e+01 2.00038e+06
1.11120e+01 2.20597e+01 2.00038e+06
1.10612e+01 2.20438e+01 2.00038e+06
1.10110e+01 2.20281e+01 2.00038e+06
1.09612e+01 2.20123e+01 2.00038e+06
1.09116e+01 2.19966e+01 2.00038e+06
1.08622e+01 2.19809e+01 2.00038e+06
1.08131e+01 2.19653e+01 2.00038e+06
1.07644e+01 2.19497e+01 2.00038e+06
1.07160e+01 2.19342e+01 2.00038e+06
1.06681e+01 2.19188e+01 2.00038e+06
1.06204e+01 2.19034e+01 2.00038e+06
1.05732e+01 2.18881e+01 2.00038e+06
1.05263e+01 2.18728e+01 2.00038e+06
1.04796e+01 2.18575e+01 2.00038e+06
1.04332e+01 2.18424e+01 2.00038e+06
1.03871e+01 2.18272e+01 2.00038e+06
1.03413e+01 2.18121e+01 2.00038e+06
1.02957e+01 2.17970e+01 2.00038e+06
1.02503e+01 2.17820e+01 2.00038e+06
1.02052e+01 2.17670e+01 2.00038e+06
1.01603e+01 2.17520e+01 2.00038e+06
1.01155e+01 2.17370e+01 2.00038e+06
1.00710e+01 2.17221e+01 2.00038e+06
1.00269e+01 2.17072e+01 2.00038e+06
9.98294e+00 2.16924e+01 2.00038e+06
9.93933e+00 2.16777e+01 2.00038e+06
9.89593e+00 2.16629e+01 2.00038e+06
9.85270e+00 2.16483e+01 2.00038e+06
9.80971e+00 2.16336e+01 2.00038e+06
9.76697e+00 2.16189e+01 2.00038e+06
9.72446e+00 2.16042e+01 2.00038e+06
9.68217e+00 2.15897e+01 2.00038e+06
9.64012e+00 2.15751e+01 2.00038e+06
9.59846e+00 2.15607e+01 2.00038e+06
9.55713e+00 2.15463e+01 2.00038e+06
9.51593e+00 2.15319e+01 2.00038e+06
9.47493e+00 2.15176e+01 2.00038e+06
9.43428e+00 2.15033e+01 2.00038e+06
9.39378e+00 2.14889e+01 2.00038e+06
9.35348e+00 2.14747e+01 2.00038e+06
9.31354e+00 2.14605e+01 2.00038e+06
9.27397e+00 2.14464e+01 2.00038e+06
9.23462e+00 2.14322e+01 2.00038e+06
9.19552e+00 2.14181e+01 2.00038e+06
9.15672e+00 2.14040e+01 2.00038e+06
9.11806e+00 2.13899e+01 2.00038e+06
9.07955e+00 2.13759e+01 2.00038e+06
9.04125e+00 2.13619e+01 2.00038e+06
9.00326e+00 2.13479e+01 2.00038e+06
8.96552e+00 2.13340e+01 2.00038e+06
8.92793e+00 2.13201e+01 2.00038e+06
8.89066e+00 2.13063e+01 2.00038e+06
8.85359e+00 2.12924e+01 2.00038e+06
8.81676e+00 1.39014e+01 2.00038e+06
8.78007e+00 1.39029e+01 2.00038e+06
8.74355e+00 1.39044e+01 2.00038e+06
8.70740e+00 1.39058e+01 2.00038e+06
8.67134e+00 1.39073e+01 2.00038e+06
8.63547e+00 1.39087e+01 2.00038e+06
8.59983e+00 1.39102e+01 2.00038e+06
8.56441e+00 1.39117e+01 2.00038e+06
8.52915e+00 1.39131e+01 2.00038e+06
8.49404e+00 1.39146e+01 2.00038e+06
8.45908e+00 1.39160e+01 2.00038e+06
8.42431e+00 1.39174e+01 2.00038e+06
8.38978e+00 1.39188e+01 2.00038e+06
8.35554e+00 1.39203e+01 2.00038e+06
8.32143e+00 1.39217e+01 2.00038e+06
8.28746e+00 1.39231e+01 2.00038e+06
8.25387e+00 1.39245e+01 2.00038e+06
8.22048e+00 1.39260e+01 2.00038e+06
8.18731e+00 1.39274e+01 2.00038e+06
8.15436e+00 1.39288e+01 2.00038e+06
8.12158e+00 1.39301e+01 2.00038e+06
8.08902e+00 1.39315e+01 2.00038e+06
8.05671e+00 1.39329e+01 2.00038e+06
8.02460e+00 1.39343e+01 2.00038e+06
7.99276e+00 1.39357e+01 2.00038e+06
7.96105e+00 1.39370e+01 2.00038e+06
7.92953e+00 1.39384e+01 2.00038e+06
7.89816e+00 1.39398e+01 2.00038e+06
7.86695e+00 1.39411e+01 2.00038e+06
7.83587e+00 1.39425e+01 2.00038e+06
7.80495e+00 1.39439e+01 2.00038e+06
7.77418e+00 1.39453e+01 2.00038e+06
7.74366e+00 1.39467e+01 2.00038e+06
7.71328e+00 1.39481e+01 2.00038e+06
7.68302e+00 1.39494e+01 2.00038e+06
7.65286e+00 1.39508e+01 2.00038e+06
7.62289e+00 1.39522e+01 2.00038e+06
7.59313e+00 1.39536e+01 2.00038e+06
7.56362e+00 1.39550e+01 2.00038e+06
7.53429e+00 1.39564e+01 2.00038e+06
7.50517e+00 1.39578e+01 2.00038e+06
7.47620e+00 1.39591e+01 2.00038e+06
7.44738e+00 1.39605e+01 2.00038e+06
7.41869e+00 1.39619e+01 2.00038e+06
7.39017e+00 1.39633e+01 2.00038e+06
7.36183e+00 1.39647e+01 2.00038e+06
7.33360e+00 1.39660e+01 2.00038e+06
7.30556e+00 1.39674e+01 2.00038e+06
7.27766e+00 1.39688e+01 2.00038e+06
7.24989e+00 1.39701e+01 2.00038e+06
7.22225e+00 1.39715e+01 2.00038e+06
7.19471e+00 1.39728e+01 2.00038e+06
7.16735e+00 1.39741e+01 2.00038e+06
7.14015e+00 1.39754e+01 2.00038e+06
7.11318e+00 1.39767e+01 2.00038e+06
7.08637e+00 1.39779e+01 2.00038e+06
7.05965e+00 1.39792e+01 2.00038e+06
7.03305e+00 1.39804e+01 2.00038e+06
7.00660e+00 1.39816e+01 2.00038e+06
6.98028e+00 1.39829e+01 2.00038e+06
6.95413e+00 1.39841e+01 2.00038e+06
6.92807e+00 1.39854e+01 2.00038e+06
6.90214e+00 1.39866e+01 2.00038e+06
6.87632e+00 1.39878e+01 2.00038e+06
6.85060e+00 1.39890e+01 2.00038e+06
6.82498e+00 1.39902e+01 2.00038e+06
6.79950e+00 1.39914e+01 2.00038e+06
6.77414e+00 1.39926e+01 2.00038e+06
6.74893e+00 1.39939e+01 2.00038e+06
6.72394e+00 1.39950e+01 2.00038e+06
6.69910e+00 1.39962e+01 2.00038e+06
6.67440e+00 1.39974e+01 2.00038e+06
6.64980e+00 1.39986e+01 2.00038e+06
6.62532e+00 1.39998e+01 2.00038e+06
6.60101e+00 1.40010e+01 2.00038e+06
6.57681e+00 1.40022e+01 2.00038e+06
6.55275e+00 1.40034e+01 2.00038e+06
6.52878e+00 1.40045e+01 2.00038e+06
6.50498e+00 1.40057e+01 2.00038e+06
