# Chi2 Rg SupportVolume
6.17760e+02 1.82430e+02 6.49648e+07
6.16962e+02 1.82313e+02 6.49648e+07
6.16167e+02 1.82194e+02 6.49648e+07
6.15373e+02 1.82075e+02 6.49648e+07
6.14584e+02 1.81957e+02 6.49648e+07
6.13800e+02 1.81841e+02 6.49648e+07
6.13013e+02 1.81727e+02 6.49648e+07
6.12229e+02 1.81608e+02 6.49648e+07
6.11447e+02 1.81486e+02 6.49648e+07
6.10666e+02 1.81366e+02 6.49648e+07
6.09888e+02 1.81253e+02 6.49648e+07
6.09109e+02 1.81140e+02 6.49648e+07
6.08331e+02 1.81028e+02 6.49648e+07
6.07552e+02 1.80917e+02 6.49648e+07
6.06775e+02 1.80804e+02 6.49648e+07
6.06002e+02 1.80686e+02 6.49648e+07
6.05231e+02 1.80570e+02 6.49648e+07
6.04461e+02 1.80458e+02 6.49648e+07
6.03690e+02 1.80348e+02 6.49648e+07
6.02920e+02 1.80243e+02 6.49648e+07
6.02149e+02 1.80142e+02 6.49648e+07
6.01377e+02 1.80041e+02 6.49648e+07
6.00606e+02 1.79942e+02 6.49648e+07
5.99834e+02 1.79843e+02 6.49648e+07
5.99070e+02 1.79745e+02 6.49648e+07
5.98308e+02 1.79648e+02 6.49648e+07
5.97548e+02 1.79551e+02 6.49648e+07
5.96794e+02 1.79453e+02 6.49648e+07
5.96046e+02 1.79359e+02 6.49648e+07
5.95299e+02 1.79270e+02 6.49648e+07
5.94555e+02 1.79186e+02 6.49648e+07
5.93813e+02 1.79104e+02 6.49648e+07
5.93072e+02 1.79029e+02 6.49648e+07
5.92333e+02 1.78956e+02 6.49648e+07
5.91593e+02 1.78886e+02 6.49648e+07
5.90855e+02 1.78818e+02 6.49648e+07
5.90116e+02 1.78756e+02 6.49648e+07
5.89377e+02 1.78696e+02 6.49648e+07
5.88636e+02 1.78638e+02 6.49648e+07
5.87896e+02 1.78583e+02 6.49648e+07
5.87161e+02 1.78528e+02 6.49648e+07
5.86428e+02 1.78474e+02 6.49648e+07
5.85696e+02 1.78422e+02 6.49648e+07
5.84963e+02 1.78371e+02 6.49648e+07
